"filename", "language", "Rust", "TOML", "Markdown", "CSV", "Properties", "YAML", "Ignore", "XML", "comment", "blank", "total"
"d:\mgr\server\model\src\admin\request\sys_organization.rs", "Rust", 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\mgr\server\model\src\admin\request\sys_role.rs", "Rust", 36, 0, 0, 0, 0, 0, 0, 0, 0, 9, 45
"d:\mgr\server\model\src\admin\request\sys_user.rs", "Rust", 38, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"d:\mgr\server\model\src\admin\response\mod.rs", "Rust", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\mgr\server\model\src\admin\response\sys_authentication.rs", "Rust", 20, 0, 0, 0, 0, 0, 0, 0, 2, 5, 27
"d:\mgr\server\model\src\admin\response\sys_domain.rs", "Rust", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\mgr\server\model\src\admin\response\sys_endpoint.rs", "Rust", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\mgr\server\model\src\admin\response\sys_menu.rs", "Rust", 79, 0, 0, 0, 0, 0, 0, 0, 0, 7, 86
"d:\mgr\server\model\src\admin\response\sys_user.rs", "Rust", 49, 0, 0, 0, 0, 0, 0, 0, 0, 5, 54
"d:\mgr\server\model\src\entities\cart_item.rs", "Rust", 24, 0, 0, 0, 0, 0, 0, 0, 1, 5, 30
"d:\mgr\server\model\src\entities\casbin_rule.rs", "Rust", 18, 0, 0, 0, 0, 0, 0, 0, 1, 5, 24
"d:\mgr\server\model\src\entities\mod.rs", "Rust", 27, 0, 0, 0, 0, 0, 0, 0, 1, 3, 31
"d:\mgr\server\model\src\entities\order.rs", "Rust", 38, 0, 0, 0, 0, 0, 0, 0, 1, 5, 44
"d:\mgr\server\model\src\entities\order_item.rs", "Rust", 25, 0, 0, 0, 0, 0, 0, 0, 1, 5, 31
"d:\mgr\server\model\src\entities\prelude.rs", "Rust", 25, 0, 0, 0, 0, 0, 0, 0, 1, 2, 28
"d:\mgr\server\model\src\entities\product_attribute.rs", "Rust", 20, 0, 0, 0, 0, 0, 0, 0, 1, 5, 26
"d:\mgr\server\model\src\entities\product_attribute_category.rs", "Rust", 15, 0, 0, 0, 0, 0, 0, 0, 1, 5, 21
"d:\mgr\server\model\src\entities\product_attribute_value.rs", "Rust", 17, 0, 0, 0, 0, 0, 0, 0, 1, 5, 23
"d:\mgr\server\model\src\entities\product_brand.rs", "Rust", 18, 0, 0, 0, 0, 0, 0, 0, 1, 5, 24
"d:\mgr\server\model\src\entities\product_category.rs", "Rust", 21, 0, 0, 0, 0, 0, 0, 0, 1, 5, 27
"d:\mgr\server\model\src\entities\product_comment.rs", "Rust", 26, 0, 0, 0, 0, 0, 0, 0, 1, 5, 32
"d:\mgr\server\model\src\entities\product_sku.rs", "Rust", 22, 0, 0, 0, 0, 0, 0, 0, 1, 5, 28
"d:\mgr\server\model\src\entities\product_spu.rs", "Rust", 33, 0, 0, 0, 0, 0, 0, 0, 1, 5, 39
"d:\mgr\server\model\src\entities\receive_address.rs", "Rust", 22, 0, 0, 0, 0, 0, 0, 0, 1, 5, 28
"d:\mgr\server\model\src\entities\sea_orm_active_enums.rs", "Rust", 20, 0, 0, 0, 0, 0, 0, 0, 1, 2, 23
